job,model,dataset,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_cos_sim,median_cos_sim,std_cos_sim,q25_cos_sim,q75_cos_sim,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,14,15,non_sdc,5906,75,5906,0,0.0,0.8307090846350486,0.8424864187836647,0.053764345332235994,0.8003942705690861,0.8688050583004951,0.8191206002124312,0.8411681690501133,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,14,15,non_significant_sdc,1327,73,1327,0,0.0,0.8309750188375067,0.8453267514705658,0.0574803186593667,0.8025831058621407,0.8683577924966812,0.8185871092398451,0.8425650744659503,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,14,15,significant_sdc,264,58,172,92,0.3484848484848485,0.5410301147914102,0.6366541534662247,0.2943626433980817,0.45936618000268936,0.8069291859865189,0.43995790224141856,0.6189538990159142,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,15,16,non_sdc,5906,75,5906,0,0.0,0.7857721395797831,0.7955499440431595,0.07292474649368638,0.7479577846825123,0.8418482840061188,0.7700926450922254,0.8004393082606016,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,15,16,non_significant_sdc,1327,73,1327,0,0.0,0.7872344393062229,0.805268406867981,0.08360303215924267,0.7570714503526688,0.8436644449830055,0.7663632293416416,0.8054032561293878,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,15,16,significant_sdc,264,57,169,95,0.35984848484848486,0.44753923299639714,0.5839731767773628,0.3781574946920317,0.3638279512524605,0.7395376563072205,0.31508627592810085,0.549324125656685,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,16,17,non_sdc,5906,75,5906,0,0.0,0.7983737873311492,0.8082007169723511,0.06494954660009544,0.7725551724433899,0.8404991514980793,0.7843488395897422,0.8109952016253739,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,16,17,non_significant_sdc,1327,73,1327,0,0.0,0.801561796368179,0.8081151396036148,0.06506989618710461,0.7797207683324814,0.8442498818039894,0.7861328946417694,0.8154881615635282,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,16,17,significant_sdc,264,57,169,95,0.35984848484848486,0.3938953361457445,0.48981858044862747,0.40488117030148346,0.1036230674944818,0.7601803094148636,0.2419698475070264,0.5091024138359167,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,17,18,non_sdc,5906,75,5906,0,0.0,0.7738960205580152,0.7916286811232567,0.07503067265131176,0.7340608723461628,0.8299228921532631,0.7582181016715908,0.7886616839745114,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,17,18,non_significant_sdc,1327,73,1327,0,0.0,0.7669124857837667,0.7813920229673386,0.07319976695385919,0.7265579774975777,0.8233345448970795,0.7494999308415223,0.7841867833725905,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,17,18,significant_sdc,264,57,165,99,0.375,0.5185310621167336,0.5197138488292694,0.22872846948742723,0.388837069272995,0.7247091382741928,0.42842814644371174,0.5909860850047786,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,18,19,non_sdc,5906,75,5906,0,0.0,0.828715872650293,0.8368889689445496,0.04344497742588136,0.8040801025927067,0.858434047549963,0.8195635121232538,0.8371477090072967,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,18,19,non_significant_sdc,1327,73,1327,0,0.0,0.8206309406388588,0.8256388753652573,0.045990763096318,0.7908393666148186,0.8562171012163162,0.809262940814016,0.8316779246822557,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,18,19,significant_sdc,264,57,161,103,0.39015151515151514,0.6263012777296653,0.6846297085285187,0.19117708314285645,0.45800112932920456,0.7682545781135559,0.5655587501312322,0.67139478856863,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,19,20,non_sdc,5906,75,5906,0,0.0,0.7669616412753639,0.7767149433493614,0.07356328300896338,0.7314735241234303,0.8188505955040455,0.7509369859909456,0.7820861797123644,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,19,20,non_significant_sdc,1327,73,1327,0,0.0,0.7672387995639958,0.7695340067148209,0.07206951206964339,0.731630228459835,0.813766285777092,0.7485983224866817,0.7844468628348924,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,19,20,significant_sdc,264,56,157,107,0.4053030303030303,0.4672936510893807,0.6538778990507126,0.3614634716729516,0.029103595297783613,0.757824495434761,0.3534716882689667,0.5487697233393324,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,20,21,non_sdc,5906,75,5906,0,0.0,0.7964703080325101,0.8016178980469704,0.06742357914578974,0.7629411593079567,0.8423738479614258,0.7822580017820971,0.8094081434151335,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,20,21,non_significant_sdc,1327,73,1327,0,0.0,0.7895958530151629,0.7973567545413971,0.07123921651958139,0.7566205114126205,0.8416457623243332,0.7725999001889798,0.8056387079215892,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,20,21,significant_sdc,264,54,154,110,0.41666666666666663,0.5185932108736294,0.6432042308151722,0.2702973393318699,0.17270275577902794,0.7445197738707066,0.41712751792675323,0.5947663886065899,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,21,22,non_sdc,5906,75,5906,0,0.0,0.755303043037933,0.7600420266389847,0.09270453116513995,0.6953030154109001,0.8149101510643959,0.7357898408924228,0.7738748857330484,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,21,22,non_significant_sdc,1327,73,1327,0,0.0,0.7396354294285885,0.7428850531578064,0.08632352146099864,0.6808652952313423,0.793706402182579,0.7187512041540507,0.7609833789092382,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,21,22,significant_sdc,264,53,152,112,0.4242424242424242,0.3941780738287458,0.4883154910057783,0.31370328828074867,0.062040101969614625,0.6175744272768497,0.2654016689698794,0.48799986887152363,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,22,23,non_sdc,5906,75,5906,0,0.0,0.8355422294391158,0.8403195664286613,0.05603152394453046,0.8083315007388592,0.8705177940428257,0.8242949407584849,0.8461908695112951,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,22,23,non_significant_sdc,1327,73,1327,0,0.0,0.8240637957387251,0.8372503072023392,0.05779798188928243,0.7926849126815796,0.8640699982643127,0.8089820224841856,0.8388173825675315,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,22,23,significant_sdc,264,52,147,117,0.44318181818181823,0.6544881155365939,0.6899293437600136,0.17727464166847876,0.5238643735647202,0.8073743358254433,0.5883938756832529,0.7021161804541951,adequate
