job,model,dataset,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_cos_sim,median_cos_sim,std_cos_sim,q25_cos_sim,q75_cos_sim,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,8,9,non_sdc,5540,375,5540,0,0.0,0.9156043638834992,0.9253036230802536,0.04133055581136926,0.900912344455719,0.9437129199504852,0.9125080317342432,0.9184774190821987,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,8,9,non_significant_sdc,1723,315,1723,0,0.0,0.9166992446034714,0.9246890246868134,0.04678646056692182,0.9060080349445343,0.9447073191404343,0.9130136014259109,0.9201760386601545,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,8,9,significant_sdc,224,113,169,55,0.2455357142857143,0.5820067206276416,0.5170760452747345,0.21968814591954408,0.47977398335933685,0.6503314822912216,0.5275385488971148,0.6357372921783289,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,9,10,non_sdc,5540,375,5540,0,0.0,0.9090018962721748,0.9178835451602936,0.03671255207780836,0.895004790276289,0.9336496405303478,0.9061792139056031,0.9116382827102741,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,9,10,non_significant_sdc,1723,315,1723,0,0.0,0.9101764592869089,0.9199235141277313,0.042784979143048914,0.898732140660286,0.9345275312662125,0.9064828404620731,0.913526237507162,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,9,10,significant_sdc,224,113,167,57,0.2544642857142857,0.4643207067128098,0.3985688127577305,0.303161234607044,0.3739926666021347,0.7273815423250198,0.3916498217459647,0.5331644086168479,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,10,11,non_sdc,5540,375,5540,0,0.0,0.8933216082086847,0.9038487002253532,0.03870561773750996,0.8846275992691517,0.9166948646306992,0.8900952620580447,0.8963386795150409,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,10,11,non_significant_sdc,1723,315,1723,0,0.0,0.8949380759817337,0.9053573459386826,0.04694179466919461,0.8866700679063797,0.9169093742966652,0.8909592836961003,0.8985372140519723,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,10,11,significant_sdc,224,111,166,58,0.2589285714285714,0.31585117887722397,0.16329751955345273,0.3446015430603675,0.09982090722769499,0.6191488783806562,0.22886544445167387,0.40168693720442517,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,11,12,non_sdc,5540,375,5540,0,0.0,0.9111775651762417,0.9207452088594437,0.03393864251335538,0.8927741423249245,0.9369087256491184,0.9086092038438268,0.9138060082799955,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,11,12,non_significant_sdc,1723,315,1723,0,0.0,0.9133235602096389,0.9211166054010391,0.03832434750446861,0.8972875848412514,0.9390950873494148,0.9099431151213396,0.916522064764001,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,11,12,significant_sdc,224,112,166,58,0.2589285714285714,0.3805972481951544,0.3628945956006646,0.3830965894507111,0.30642489809542894,0.700755663216114,0.28991820612301133,0.4646752422399293,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,12,13,non_sdc,5540,375,5540,0,0.0,0.9076635271956344,0.9177810624241829,0.03792175689750704,0.8911420255899429,0.93481120839715,0.9048033088407804,0.9104664085452748,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,12,13,non_significant_sdc,1723,315,1723,0,0.0,0.910128400553487,0.9199224263429642,0.04352890565127261,0.896745353937149,0.9370439946651459,0.9062304375083939,0.9138735189260855,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,12,13,significant_sdc,224,107,160,64,0.2857142857142857,0.42251226099033373,0.2743854820728302,0.30828932987151186,0.22689346130937338,0.7943313680589199,0.34172244223639564,0.5020454054363753,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,13,14,non_sdc,5540,375,5540,0,0.0,0.901921588455458,0.9112492576241493,0.04263808130743813,0.8750821948051453,0.9364549666643143,0.8987110554410602,0.9050415321846118,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,13,14,non_significant_sdc,1723,315,1723,0,0.0,0.902717685648005,0.9118930995464325,0.048473257012851136,0.878433346748352,0.9374064281582832,0.8984649861201957,0.9068420285193584,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,13,14,significant_sdc,224,107,161,63,0.28125,0.3946495839851613,0.5318870469927788,0.48179765111670836,0.08790274150669575,0.7581762969493866,0.29116225031327064,0.4907798991973306,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,14,15,non_sdc,5540,375,5540,0,0.0,0.9097760541021609,0.9153024852275848,0.02453698200792305,0.898738220334053,0.9266325682401657,0.9078210293545202,0.9116762325355042,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,14,15,non_significant_sdc,1723,315,1723,0,0.0,0.909057574607194,0.9171123653650284,0.03541931094447398,0.8983027786016464,0.9288540408015251,0.9059428971881542,0.9119840935173825,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,14,15,significant_sdc,224,106,160,64,0.2857142857142857,0.5293124726274983,0.5797046311199665,0.3105350583335239,0.15658081974834204,0.817476574331522,0.4575173202568457,0.5954284822993213,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,15,16,non_sdc,5540,375,5540,0,0.0,0.8871004717754005,0.8993042409420013,0.044888919198391775,0.8591402992606163,0.9231389611959457,0.8836722525177563,0.8905150995375459,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,15,16,non_significant_sdc,1723,315,1723,0,0.0,0.8919373570367893,0.9045837074518204,0.04609640114232875,0.8713713586330414,0.9260881990194321,0.8873998836223,0.8961824045578186,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,15,16,significant_sdc,224,107,160,64,0.2857142857142857,0.3370388513605576,0.30385637655854225,0.4125643966349273,0.0043858441058546305,0.8263708725571632,0.23761592600503156,0.4320662726840529,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,16,17,non_sdc,5540,375,5540,0,0.0,0.8732574125772026,0.877771183848381,0.04935070638855427,0.8426660113036633,0.9132061786949635,0.8694474608185707,0.8769160204804582,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,16,17,non_significant_sdc,1723,315,1723,0,0.0,0.8761156563589255,0.8804131150245667,0.051706100972497525,0.8482698127627373,0.9156804233789444,0.8710451082936693,0.8809549233384888,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,16,17,significant_sdc,224,102,154,70,0.3125,0.3013445370945499,0.3297703033313155,0.44801039330038056,-0.16368245147168636,0.8515302650630474,0.1961025118646523,0.4034425396154192,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,17,18,non_sdc,5540,375,5540,0,0.0,0.8831888240718346,0.8930709138512611,0.042625619213635224,0.860913373529911,0.9148500263690948,0.8797589130369688,0.8865298426397437,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,17,18,non_significant_sdc,1723,315,1723,0,0.0,0.8851998619307146,0.8933538943529129,0.04628371627975134,0.8641376495361328,0.9173261672258377,0.881035789547533,0.8891552574557899,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,17,18,significant_sdc,224,99,150,74,0.3303571428571429,0.5002170987572107,0.4229694977402687,0.24342906809610626,0.3456423357129097,0.8397853784263134,0.4361831212417199,0.5608384234359708,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,18,19,non_sdc,5540,375,5540,0,0.0,0.9124841335394323,0.9175292551517487,0.029727179789084457,0.9020852483808994,0.9306437484920025,0.9098747510874813,0.9149486461662997,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,18,19,non_significant_sdc,1723,315,1723,0,0.0,0.9129153739702058,0.9185654520988464,0.032704828907377005,0.9027533084154129,0.9326206371188164,0.9096389988431778,0.9159578849788168,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,18,19,significant_sdc,224,102,151,73,0.3258928571428571,0.6426326628675721,0.7437748610973358,0.22729056787222174,0.4688051976263523,0.8213169202208519,0.5930977727875247,0.68621288478931,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,19,20,non_sdc,5540,375,5540,0,0.0,0.8743493584761336,0.8843981623649597,0.049412035968817034,0.8456259556114674,0.9114531502127647,0.8704358171185923,0.8782223291015574,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,19,20,non_significant_sdc,1723,315,1723,0,0.0,0.8805236092752934,0.8870825171470642,0.047324271261746945,0.8568988144397736,0.9154987037181854,0.8758965624756632,0.8848984603152342,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,19,20,significant_sdc,224,95,143,81,0.3616071428571429,0.45457865614150944,0.5962760299444199,0.35953607244235714,0.07750536128878593,0.8182633444666862,0.3688911644107675,0.532549147687602,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,20,21,non_sdc,5540,375,5540,0,0.0,0.9036619171527104,0.9107614010572433,0.03976615225520177,0.8781204670667648,0.9328640177845955,0.9006568551539437,0.9066353368485602,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,20,21,non_significant_sdc,1723,315,1723,0,0.0,0.9077850471116122,0.9158338457345963,0.03937660697297184,0.8891600146889687,0.9353907033801079,0.9038247268786536,0.9115714883002848,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,20,21,significant_sdc,224,93,139,85,0.3794642857142857,0.7254889850511397,0.7093030214309692,0.1603341611065821,0.6742049306631088,0.8494204953312874,0.688554844079633,0.7569768741648216,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,21,22,non_sdc,5540,375,5540,0,0.0,0.886957242271261,0.8879721462726593,0.04652592868673352,0.8613829240202904,0.9237883239984512,0.8832992000772387,0.8905160422552999,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,21,22,non_significant_sdc,1723,315,1723,0,0.0,0.8901441185040593,0.8948844820261002,0.047625335037103374,0.8643923625349998,0.9277295172214508,0.8854512468758905,0.8947436271579371,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,21,22,significant_sdc,224,90,137,87,0.3883928571428571,0.3633737438698265,0.3125345278531313,0.3879265722264951,-0.02150191878899932,0.8322135955095291,0.2598841246851816,0.45939365082297745,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,22,23,non_sdc,5540,375,5540,0,0.0,0.9184273273035185,0.9268668815493584,0.03840337351278014,0.8996779546141624,0.9466796368360519,0.9158256798536129,0.9209489746927314,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,22,23,non_significant_sdc,1723,315,1723,0,0.0,0.9217152009765146,0.9313383251428604,0.04052092620451507,0.9051456674933434,0.9508612155914307,0.9177959382216939,0.9254236930531787,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,22,23,significant_sdc,224,87,133,91,0.40625,0.6880487675701541,0.5933746844530106,0.18224322192362183,0.5743447989225388,0.888250395655632,0.6395466727904976,0.7313356362379405,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,23,24,non_sdc,5540,375,5540,0,0.0,0.9084018639789807,0.9172889962792397,0.040345785835129655,0.8878210261464119,0.936747670173645,0.905247106622457,0.9115594439314055,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,23,24,non_significant_sdc,1723,315,1723,0,0.0,0.911723408296713,0.9210269600152969,0.04122528724982406,0.8943445608019829,0.9419392943382263,0.9075553178753439,0.9156677651246597,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,23,24,significant_sdc,224,86,131,93,0.4151785714285714,0.5820406324955286,0.4580293521285057,0.23992073376644157,0.43546441197395325,0.8600763231515884,0.5166123102360255,0.6425907516209046,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,24,25,non_sdc,5540,375,5540,0,0.0,0.9215076965101682,0.9269251599907875,0.033859756293225234,0.9062732011079788,0.943836685270071,0.9190206182688461,0.9239559545862968,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,24,25,non_significant_sdc,1723,315,1723,0,0.0,0.9248214962238741,0.930355042219162,0.03541737190787668,0.9098009243607521,0.9479696825146675,0.9215164815144946,0.9279860733220675,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,24,25,significant_sdc,224,84,128,96,0.4285714285714286,0.7427239421231207,0.7209859639406204,0.17920301443801515,0.7114066332578659,0.8888655640184879,0.6996360682440822,0.7798964775585857,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,25,26,non_sdc,5540,375,5540,0,0.0,0.9543056618919872,0.9595776274800301,0.025895446248206767,0.9413047470152378,0.9744309484958649,0.952547925302159,0.9560180950976879,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,25,26,non_significant_sdc,1723,315,1723,0,0.0,0.9581902492715741,0.9658691585063934,0.026701974189665856,0.9473336413502693,0.9768089279532433,0.9556845219875866,0.9605743413611003,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,25,26,significant_sdc,224,85,127,97,0.4330357142857143,0.7180883477691297,0.6809788644313812,0.2306502144445042,0.6469948589801788,0.9448080211877823,0.6560295300355289,0.7708472754925929,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,26,27,non_sdc,5540,375,5540,0,0.0,0.991897820831959,0.9935778826475143,0.0073540592149374685,0.9898195192217827,0.9958088174462318,0.9913207046443828,0.992414974176819,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,26,27,non_significant_sdc,1723,315,1723,0,0.0,0.9921237600884047,0.9940031319856644,0.009544816765664288,0.9907430484890938,0.9960537999868393,0.9913603529341288,0.9927854712836424,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,26,27,significant_sdc,224,83,123,101,0.4508928571428571,0.7369196662543024,0.6767889857292175,0.23174670031495886,0.6687386855483055,0.9867135360836983,0.6748092861258769,0.7909647059919586,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,1,non_sdc,5906,75,5906,0,0.0,0.8482347056761641,0.8810186684131622,0.07820273190835075,0.7969266772270203,0.9095154367387295,0.831546551748692,0.86413903974484,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,1,non_significant_sdc,1327,73,1327,0,0.0,0.8470560107506481,0.8816388845443726,0.08476163695226396,0.7706098705530167,0.9190922752022743,0.823690453803806,0.8694649152012118,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,1,significant_sdc,264,67,216,48,0.18181818181818177,0.550344857973633,0.4806901775300503,0.17029181283043268,0.4609988182783127,0.6967226788401604,0.48821398097948865,0.6006135904255734,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,2,non_sdc,5906,75,5906,0,0.0,0.8395824114304153,0.8627404123544693,0.07251627778314494,0.7910079658031464,0.8945974446833134,0.8244269397022541,0.854029085896633,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,2,non_significant_sdc,1327,73,1327,0,0.0,0.8371844696247362,0.8610380291938782,0.07847214950352252,0.7893273234367371,0.8955810591578484,0.8166336991040681,0.8564613717417714,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,2,significant_sdc,264,66,214,50,0.18939393939393945,0.3908874228429136,0.2519378950819373,0.2530210231297752,0.22455728380009532,0.7130059897899628,0.29724451811550134,0.46792022007517803,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,3,non_sdc,5906,75,5906,0,0.0,0.8128060100715553,0.8438694179058075,0.10377131695400725,0.7310988754034042,0.9004212021827698,0.790528177275942,0.8343032474279228,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,3,non_significant_sdc,1327,73,1327,0,0.0,0.8103896304235121,0.8739378303289413,0.1175014602599007,0.7232030630111694,0.9017802253365517,0.7763498084111795,0.8408580600752694,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,3,significant_sdc,264,67,212,52,0.19696969696969702,0.5035381008923616,0.4559680409729481,0.17963997680942168,0.439783051609993,0.5496882945299149,0.4390122214055463,0.5586060296632207,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,4,non_sdc,5906,75,5906,0,0.0,0.8273903310399526,0.8322428315877914,0.06280183288920337,0.7883857786655426,0.8836759477853775,0.8142781822613869,0.8398663233860539,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,4,non_significant_sdc,1327,73,1327,0,0.0,0.8223740536812202,0.8291116803884506,0.06651496749589383,0.7893372252583504,0.8729322105646133,0.8053858855229961,0.8384903286938253,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,4,significant_sdc,264,67,209,55,0.20833333333333337,0.6331729812650054,0.6313822567462921,0.14514825904930678,0.6026034876704216,0.6665869951248169,0.58944515698781,0.6704067025793297,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,4,5,non_sdc,5906,75,5906,0,0.0,0.811451277828372,0.8402053564786911,0.0850093044042037,0.7484963983297348,0.8764417096972466,0.7929467379703748,0.8285317009333919,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,4,5,non_significant_sdc,1327,73,1327,0,0.0,0.7969242775014067,0.8199766874313354,0.09428096772266024,0.7249840125441551,0.8736386597156525,0.7711549629632897,0.82090937496009,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,4,5,significant_sdc,264,67,205,59,0.2234848484848485,0.5329315944006894,0.4915195107460022,0.1759197777449599,0.4437270238995552,0.6724445223808289,0.4731790448128594,0.5800681386052514,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,5,6,non_sdc,5906,75,5906,0,0.0,0.8515617365362561,0.8623547330498695,0.05245684829306756,0.8158626556396484,0.8985344469547272,0.8408233444868929,0.862022441540917,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,5,6,non_significant_sdc,1327,73,1327,0,0.0,0.8534976858252655,0.8666371256113052,0.061813045035459466,0.819622628390789,0.9008581787347794,0.8389131191183647,0.8672177347980236,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,5,6,significant_sdc,264,67,202,62,0.23484848484848486,0.6086930820446388,0.6510497517883778,0.29701760721200143,0.6212991420179605,0.7758496589958668,0.530012024221691,0.6673925274536396,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,6,7,non_sdc,5906,75,5906,0,0.0,0.7308968405330429,0.7471828609704971,0.11090422642184677,0.6390110477805138,0.8261711783707142,0.7074849448816465,0.7535244341360006,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,6,7,non_significant_sdc,1327,73,1327,0,0.0,0.7202548061496807,0.74681057035923,0.11349368867242085,0.6443504132330418,0.7953536063432693,0.6906444538523197,0.7471159273324411,adequate
