k,macro_precision,macro_recall,macro_f1,macro_fpr,mean_steps_used
1,0.7974151956141704,0.8152916788367904,0.7983612615909296,0.003339548604346979,1.0
2,0.8662785960483667,0.8320208901922566,0.8404754418177809,0.004049202682770712,1.8691535705393667
4,0.8152668277787211,0.8340596198410628,0.8176761713356516,0.003896140038404809,3.4329102686422734
8,0.8557137385957964,0.8275649183753364,0.8374528946015093,0.003562185177970111,6.390221674033833
12,0.8997517753333734,0.8371058807597581,0.8638248438264519,0.0015445412295104779,9.083350510836421
16,0.9431493900290615,0.8330716194158749,0.8826159265818029,0.0006679097208693958,11.3885819828545
20,0.9505214339842429,0.8376042676564408,0.8886981689923327,0.0005287618623549383,13.130858719763605
24,0.9169258724176758,0.8364103357921254,0.8715536834707013,0.0013497342275902375,14.202599538036019
28,0.9026305605107647,0.8402868247527028,0.8670190961543766,0.0015862855870648152,14.753309053051005
32,0.8977079468911349,0.8369735501628325,0.862716216002718,0.0016697743021734895,15.020371448447252
