metric,src_layer,tgt_layer,sdc_group,task_count,macro_mean_value,task_std_value
abs_mean_diff,0,1,non_sdc,9,0.010329658747372072,0.006507569595355438
abs_mean_diff,0,1,non_significant_sdc,9,0.010437345575238639,0.00639895232742383
abs_mean_diff,0,1,significant_sdc,9,5.28505792710187e+29,1.0543481367108331e+30
abs_mean_diff,1,2,non_sdc,9,0.007652505560246183,0.0029047095715556115
abs_mean_diff,1,2,non_significant_sdc,9,0.00774141141880321,0.002719411014724578
abs_mean_diff,1,2,significant_sdc,9,1.3667854635846294e+28,1.9053632631213416e+28
abs_mean_diff,2,3,non_sdc,9,0.009124846482443785,0.0021627583467720307
abs_mean_diff,2,3,non_significant_sdc,9,0.0092695596439793,0.002138026924221959
abs_mean_diff,2,3,significant_sdc,9,3.827606307745645e+28,5.437392221968318e+28
abs_mean_diff,3,4,non_sdc,9,0.011038348524334041,0.0030106628375764417
abs_mean_diff,3,4,non_significant_sdc,9,0.011244600596941429,0.00288068170338414
abs_mean_diff,3,4,significant_sdc,9,5.30996346971349e+28,6.949900408225525e+28
abs_mean_diff,4,5,non_sdc,9,0.010300281452494377,0.0038159897987713708
abs_mean_diff,4,5,non_significant_sdc,9,0.009759292466259893,0.0042512554041056
abs_mean_diff,4,5,significant_sdc,9,8.32789235084258e+29,2.1786776839477492e+30
abs_mean_diff,5,6,non_sdc,9,0.011209400108786124,0.005765313599996337
abs_mean_diff,5,6,non_significant_sdc,9,0.01171947372798147,0.005863769702970177
abs_mean_diff,5,6,significant_sdc,9,3.70461223485361e+29,7.391921853827234e+29
abs_mean_diff,6,7,non_sdc,9,0.014740133279450174,0.004391547723065234
abs_mean_diff,6,7,non_significant_sdc,9,0.014463491976729042,0.004646046835555133
abs_mean_diff,6,7,significant_sdc,9,2.951360942557572e+29,6.353343284056659e+29
abs_mean_diff,7,8,non_sdc,9,0.014194754549646638,0.006215854065243502
abs_mean_diff,7,8,non_significant_sdc,9,0.014949542667738604,0.005228274739814489
abs_mean_diff,7,8,significant_sdc,9,3.640506114665753e+28,6.976747402595642e+28
abs_mean_diff,8,9,non_sdc,9,0.01734786410116442,0.008517897240333729
abs_mean_diff,8,9,non_significant_sdc,9,0.01763274802896355,0.008258265221175272
abs_mean_diff,8,9,significant_sdc,9,4.7331356380229244e+29,8.459641490002439e+29
abs_mean_diff,9,10,non_sdc,9,0.01691689336619113,0.007654554867832844
abs_mean_diff,9,10,non_significant_sdc,9,0.016787950823594012,0.0077594930253644025
abs_mean_diff,9,10,significant_sdc,9,5.151376570901264e+30,1.5173074771062087e+31
abs_mean_diff,10,11,non_sdc,9,0.016909139917110773,0.005425866145062917
abs_mean_diff,10,11,non_significant_sdc,9,0.017266407715616775,0.00543250383966756
abs_mean_diff,10,11,significant_sdc,9,4.58963202364466e+29,8.505927436345734e+29
abs_mean_diff,11,12,non_sdc,9,0.018207957011150896,0.005501993431547905
abs_mean_diff,11,12,non_significant_sdc,9,0.017613435004357327,0.00669535064870759
abs_mean_diff,11,12,significant_sdc,9,9.608877251772729e+29,2.523084392945664e+30
abs_mean_diff,12,13,non_sdc,9,0.020167963566908004,0.006045261201702473
abs_mean_diff,12,13,non_significant_sdc,9,0.01992253305141488,0.00673860900558699
abs_mean_diff,12,13,significant_sdc,9,1.433509842590688e+29,2.5234626746238614e+29
abs_mean_diff,13,14,non_sdc,9,0.01984427935892602,0.006234496279431469
abs_mean_diff,13,14,non_significant_sdc,9,0.019462752215236776,0.006599826482455376
abs_mean_diff,13,14,significant_sdc,9,2.5004640033379387e+28,5.381792187654255e+28
abs_mean_diff,14,15,non_sdc,9,0.019948387105765842,0.006014646111780969
abs_mean_diff,14,15,non_significant_sdc,9,0.020235905675521533,0.005458545719705577
abs_mean_diff,14,15,significant_sdc,9,2.3153237380954296e+29,6.785346214683527e+29
abs_mean_diff,15,16,non_sdc,9,0.02147136005077738,0.007003871395589158
abs_mean_diff,15,16,non_significant_sdc,9,0.020985087164475058,0.006742398531903586
abs_mean_diff,15,16,significant_sdc,9,4.159979467143586e+28,6.5101178597629e+28
abs_mean_diff,16,17,non_sdc,9,0.021879637682333992,0.007148064529019729
abs_mean_diff,16,17,non_significant_sdc,9,0.02313308286854915,0.006305204121771071
