job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,finite_rows,non_finite_rows,non_finite_rate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,16,17,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,16,17,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,16,17,significant_sdc,224,154,70,0.3125
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,17,18,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,17,18,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,17,18,significant_sdc,224,150,74,0.3303571428571429
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,18,19,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,18,19,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,18,19,significant_sdc,224,151,73,0.3258928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,19,20,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,19,20,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,19,20,significant_sdc,224,143,81,0.3616071428571429
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,20,21,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,20,21,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,20,21,significant_sdc,224,139,85,0.3794642857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,21,22,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,21,22,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,21,22,significant_sdc,224,137,87,0.3883928571428571
