job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_value,median_value,std_value,q25_value,q75_value,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,0,1,non_sdc,5540,375,5540,0,0.0,0.8475635380445157,0.8528943911194802,0.036060361003497174,0.8288865053937549,0.8734962989886602,0.8447334614663787,0.8504302033102936,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,0,1,non_significant_sdc,1723,315,1723,0,0.0,0.8443318148142088,0.8500844580786568,0.0381563156109491,0.827416471640269,0.8683045889650072,0.8407800321126012,0.8477483587857463,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,0,1,significant_sdc,224,122,184,40,0.1785714285714286,0.3927509726633692,0.25962991434700633,0.25226404209184744,0.25065685215653205,0.49603769836985334,0.33005250310525686,0.4534479390395445,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,1,2,non_sdc,5540,375,5540,0,0.0,0.8424899423864483,0.8424514432748158,0.04149060760315757,0.811337251663208,0.8768851346138752,0.8397370078965913,0.8452394057362365,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,1,2,non_significant_sdc,1723,315,1723,0,0.0,0.8334131126364622,0.8337763905525207,0.047523004675767345,0.8060695792619998,0.8651167789432738,0.8291000710142743,0.8376978941680999,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,1,2,significant_sdc,224,121,181,43,0.1919642857142857,0.19155974106401313,-0.007114962351565458,0.34152159784218017,-0.018869666572736234,0.2756813591232105,0.10599660407636269,0.2739781463912608,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,2,3,non_sdc,5540,375,5540,0,0.0,0.786543376326382,0.7928011959249323,0.049744884126416755,0.7557674243368886,0.8219774449244142,0.7827319344612337,0.7902743138139,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,2,3,non_significant_sdc,1723,315,1723,0,0.0,0.7747875252048875,0.7797343160795129,0.05067126094604506,0.744428727518567,0.8097391312321027,0.7699614580184875,0.7795047040094752,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,2,3,significant_sdc,224,121,183,41,0.1830357142857143,0.3451785610064779,0.24610326758452825,0.21186330500238723,0.23412711538222372,0.2969632746056229,0.2940550011091671,0.3944463406925279,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,3,4,non_sdc,5540,375,5540,0,0.0,0.8453806521626414,0.8503184158068438,0.037435800832367215,0.8225729732463757,0.8721409626305103,0.8424833502508962,0.8482660852179204,adequate
