job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_earthvqa,internvl3,earthvqa,60D,1,60,canonical_finite,0.5695646405220032,0.9936908517350158,0.9375,0.9647779479326187,0.00036845983787767134,55,22824,4039,5764,5715,253,243,237,6,16,5456,0.9753086419753086,0.9367588932806324,0.0010984987184181618,0.9556451612903226
internvl3_earthvqa,internvl3,earthvqa,60D,1,60,full,0.5695646405220032,0.9936908517350158,0.9375,0.9647779479326187,0.00036845983787767134,55,22824,4039,5764,5773,311,301,295,6,16,5456,0.9800664451827242,0.9485530546623794,0.0010984987184181618,0.9640522875816994
internvl3_earthvqa,internvl3,earthvqa,60D,2,60,canonical_finite,0.512851893901825,0.9937304075235109,0.9434523809523809,0.9679389312977099,0.00036845983787767134,5,22824,4039,5764,5715,253,252,236,16,17,5446,0.9365079365079365,0.932806324110672,0.0029293299157817647,0.9346534653465347
internvl3_earthvqa,internvl3,earthvqa,60D,2,60,full,0.512851893901825,0.9937304075235109,0.9434523809523809,0.9679389312977099,0.00036845983787767134,5,22824,4039,5764,5773,311,310,294,16,17,5446,0.9483870967741935,0.9453376205787781,0.0029293299157817647,0.9468599033816425
internvl3_earthvqa,internvl3,earthvqa,60D,4,60,canonical_finite,0.5077054500579834,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,11,22824,4039,5764,5715,253,252,237,15,16,5447,0.9404761904761905,0.9367588932806324,0.0027462467960454044,0.9386138613861386
internvl3_earthvqa,internvl3,earthvqa,60D,4,60,full,0.5077054500579834,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,11,22824,4039,5764,5773,311,310,295,15,16,5447,0.9516129032258065,0.9485530546623794,0.0027462467960454044,0.9500805152979066
internvl3_earthvqa,internvl3,earthvqa,60D,8,60,canonical_finite,0.5472379326820374,0.9937304075235109,0.9434523809523809,0.9679389312977099,0.00036845983787767134,10,22824,4039,5764,5715,253,237,236,1,17,5461,0.9957805907172996,0.932806324110672,0.0001830831197363603,0.963265306122449
internvl3_earthvqa,internvl3,earthvqa,60D,8,60,full,0.5472379326820374,0.9937304075235109,0.9434523809523809,0.9679389312977099,0.00036845983787767134,10,22824,4039,5764,5773,311,295,294,1,17,5461,0.9966101694915255,0.9453376205787781,0.0001830831197363603,0.9702970297029703
internvl3_earthvqa,internvl3,earthvqa,60D,12,60,canonical_finite,0.9580453634262085,0.9968553459119497,0.9434523809523809,0.9694189602446482,0.00018422991893883567,276,22824,4039,5764,5715,253,235,234,1,19,5461,0.9957446808510638,0.924901185770751,0.0001830831197363603,0.9590163934426229
internvl3_earthvqa,internvl3,earthvqa,60D,12,60,full,0.9580453634262085,0.9968553459119497,0.9434523809523809,0.9694189602446482,0.00018422991893883567,276,22824,4039,5764,5773,311,293,292,1,19,5461,0.9965870307167235,0.9389067524115756,0.0001830831197363603,0.9668874172185431
internvl3_earthvqa,internvl3,earthvqa,60D,16,60,canonical_finite,0.8339898586273193,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,662,22824,4039,5764,5715,253,238,237,1,16,5461,0.9957983193277311,0.9367588932806324,0.0001830831197363603,0.9653767820773931
internvl3_earthvqa,internvl3,earthvqa,60D,16,60,full,0.8339898586273193,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,662,22824,4039,5764,5773,311,296,295,1,16,5461,0.9966216216216216,0.9485530546623794,0.0001830831197363603,0.9719934102141681
internvl3_earthvqa,internvl3,earthvqa,60D,20,60,canonical_finite,0.5055292248725891,0.9937304075235109,0.9434523809523809,0.9679389312977099,0.00036845983787767134,2,22824,4039,5764,5715,253,238,237,1,16,5461,0.9957983193277311,0.9367588932806324,0.0001830831197363603,0.9653767820773931
internvl3_earthvqa,internvl3,earthvqa,60D,20,60,full,0.5055292248725891,0.9937304075235109,0.9434523809523809,0.9679389312977099,0.00036845983787767134,2,22824,4039,5764,5773,311,296,295,1,16,5461,0.9966216216216216,0.9485530546623794,0.0001830831197363603,0.9719934102141681
internvl3_earthvqa,internvl3,earthvqa,60D,24,60,canonical_finite,0.5080558657646179,0.9937304075235109,0.9434523809523809,0.9679389312977099,0.00036845983787767134,1,22824,4039,5764,5715,253,238,237,1,16,5461,0.9957983193277311,0.9367588932806324,0.0001830831197363603,0.9653767820773931
internvl3_earthvqa,internvl3,earthvqa,60D,24,60,full,0.5080558657646179,0.9937304075235109,0.9434523809523809,0.9679389312977099,0.00036845983787767134,1,22824,4039,5764,5773,311,296,295,1,16,5461,0.9966216216216216,0.9485530546623794,0.0001830831197363603,0.9719934102141681
internvl3_earthvqa,internvl3,earthvqa,60D,28,60,canonical_finite,0.9873017072677612,0.9968553459119497,0.9434523809523809,0.9694189602446482,0.00018422991893883567,566,22824,4039,5764,5715,253,235,234,1,19,5461,0.9957446808510638,0.924901185770751,0.0001830831197363603,0.9590163934426229
internvl3_earthvqa,internvl3,earthvqa,60D,28,60,full,0.9873017072677612,0.9968553459119497,0.9434523809523809,0.9694189602446482,0.00018422991893883567,566,22824,4039,5764,5773,311,293,292,1,19,5461,0.9965870307167235,0.9389067524115756,0.0001830831197363603,0.9668874172185431
internvl3_earthvqa,internvl3,earthvqa,60D,32,60,canonical_finite,0.5040457844734192,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,0,22824,4039,5764,5715,253,238,236,2,17,5460,0.9915966386554622,0.932806324110672,0.0003661662394727206,0.9613034623217923
internvl3_earthvqa,internvl3,earthvqa,60D,32,60,full,0.5040457844734192,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,0,22824,4039,5764,5773,311,296,294,2,17,5460,0.9932432432432432,0.9453376205787781,0.0003661662394727206,0.9686985172981878
