job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,1,72,canonical_finite,0.5075697898864746,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,1,22831,4041,5779,5717,114,109,105,4,9,5599,0.963302752293578,0.9210526315789473,0.0007139032661074424,0.9417040358744395
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,1,72,full,0.5075697898864746,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,1,22831,4041,5779,5772,169,164,160,4,9,5599,0.975609756097561,0.9467455621301775,0.0007139032661074424,0.960960960960961
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,2,72,canonical_finite,0.453205943107605,0.9870967741935484,0.884393063583815,0.9329268292682925,0.00035676061362825543,767,22831,4041,5779,5717,114,108,104,4,10,5599,0.9629629629629629,0.9122807017543859,0.0007139032661074424,0.9369369369369369
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,2,72,full,0.453205943107605,0.9870967741935484,0.884393063583815,0.9329268292682925,0.00035676061362825543,767,22831,4041,5779,5772,169,163,159,4,10,5599,0.9754601226993865,0.9408284023668639,0.0007139032661074424,0.9578313253012049
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,4,72,canonical_finite,0.9583046436309814,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,697,22831,4041,5779,5717,114,103,103,0,11,5603,1.0,0.9035087719298246,0.0,0.9493087557603687
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,4,72,full,0.9583046436309814,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,697,22831,4041,5779,5772,169,158,158,0,11,5603,1.0,0.9349112426035503,0.0,0.9663608562691132
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,8,72,canonical_finite,0.5093910098075867,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,1,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,8,72,full,0.5093910098075867,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,1,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,12,72,canonical_finite,0.96177738904953,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,616,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,12,72,full,0.96177738904953,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,616,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,16,72,canonical_finite,0.9619645476341248,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,607,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,16,72,full,0.9619645476341248,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,607,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,20,72,canonical_finite,0.9672656059265137,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,638,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,20,72,full,0.9672656059265137,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,638,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,24,72,canonical_finite,0.8204526901245117,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,121,22831,4041,5779,5717,114,103,103,0,11,5603,1.0,0.9035087719298246,0.0,0.9493087557603687
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,24,72,full,0.8204526901245117,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,121,22831,4041,5779,5772,169,158,158,0,11,5603,1.0,0.9349112426035503,0.0,0.9663608562691132
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,28,72,canonical_finite,0.4935704469680786,0.9685534591194969,0.8901734104046243,0.927710843373494,0.0008919015340706386,19,22831,4041,5779,5717,114,113,104,9,10,5594,0.9203539823008849,0.9122807017543859,0.0016062823487417454,0.9162995594713657
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,28,72,full,0.4935704469680786,0.9685534591194969,0.8901734104046243,0.927710843373494,0.0008919015340706386,19,22831,4041,5779,5772,169,168,159,9,10,5594,0.9464285714285714,0.9408284023668639,0.0016062823487417454,0.9436201780415431
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,32,72,canonical_finite,0.49381783604621887,0.9625,0.8901734104046243,0.924924924924925,0.0010702818408847663,35,22831,4041,5779,5717,114,115,104,11,10,5592,0.9043478260869565,0.9122807017543859,0.0019632339817954665,0.9082969432314411
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,32,72,full,0.49381783604621887,0.9625,0.8901734104046243,0.924924924924925,0.0010702818408847663,35,22831,4041,5779,5772,169,170,159,11,10,5592,0.9352941176470588,0.9408284023668639,0.0019632339817954665,0.9380530973451328
