job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_earthvqa,llava15,earthvqa,60D,1,60,canonical_finite,0.9448615312576294,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,1389,22878,4047,5786,5697,42,35,34,1,8,5654,0.9714285714285714,0.8095238095238095,0.00017683465959328028,0.8831168831168831
llava15_earthvqa,llava15,earthvqa,60D,1,60,full,0.9448615312576294,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,1389,22878,4047,5786,5786,131,124,123,1,8,5654,0.9919354838709677,0.9389312977099237,0.00017683465959328028,0.9647058823529412
llava15_earthvqa,llava15,earthvqa,60D,2,60,canonical_finite,0.7572398781776428,0.991304347826087,0.926829268292683,0.9579831932773111,0.0001765848490199541,96,22878,4047,5786,5697,42,33,33,0,9,5655,1.0,0.7857142857142857,0.0,0.88
llava15_earthvqa,llava15,earthvqa,60D,2,60,full,0.7572398781776428,0.991304347826087,0.926829268292683,0.9579831932773111,0.0001765848490199541,96,22878,4047,5786,5786,131,122,122,0,9,5655,1.0,0.9312977099236641,0.0,0.9644268774703557
llava15_earthvqa,llava15,earthvqa,60D,4,60,canonical_finite,0.7701677083969116,0.9830508474576272,0.943089430894309,0.9626556016597511,0.0003531696980399082,183,22878,4047,5786,5697,42,37,35,2,7,5653,0.9459459459459459,0.8333333333333334,0.00035366931918656057,0.8860759493670886
llava15_earthvqa,llava15,earthvqa,60D,4,60,full,0.7701677083969116,0.9830508474576272,0.943089430894309,0.9626556016597511,0.0003531696980399082,183,22878,4047,5786,5786,131,126,124,2,7,5653,0.9841269841269841,0.9465648854961832,0.00035366931918656057,0.9649805447470817
llava15_earthvqa,llava15,earthvqa,60D,8,60,canonical_finite,0.5383694767951965,0.9830508474576272,0.943089430894309,0.9626556016597511,0.0003531696980399082,9,22878,4047,5786,5697,42,37,35,2,7,5653,0.9459459459459459,0.8333333333333334,0.00035366931918656057,0.8860759493670886
llava15_earthvqa,llava15,earthvqa,60D,8,60,full,0.5383694767951965,0.9830508474576272,0.943089430894309,0.9626556016597511,0.0003531696980399082,9,22878,4047,5786,5786,131,126,124,2,7,5653,0.9841269841269841,0.9465648854961832,0.00035366931918656057,0.9649805447470817
llava15_earthvqa,llava15,earthvqa,60D,12,60,canonical_finite,0.6765786409378052,1.0,0.943089430894309,0.9707112970711297,0.0,47,22878,4047,5786,5697,42,35,33,2,9,5653,0.9428571428571428,0.7857142857142857,0.00035366931918656057,0.8571428571428571
llava15_earthvqa,llava15,earthvqa,60D,12,60,full,0.6765786409378052,1.0,0.943089430894309,0.9707112970711297,0.0,47,22878,4047,5786,5786,131,124,122,2,9,5653,0.9838709677419355,0.9312977099236641,0.00035366931918656057,0.9568627450980393
llava15_earthvqa,llava15,earthvqa,60D,16,60,canonical_finite,0.6051322221755981,1.0,0.943089430894309,0.9707112970711297,0.0,25,22878,4047,5786,5697,42,35,34,1,8,5654,0.9714285714285714,0.8095238095238095,0.00017683465959328028,0.8831168831168831
llava15_earthvqa,llava15,earthvqa,60D,16,60,full,0.6051322221755981,1.0,0.943089430894309,0.9707112970711297,0.0,25,22878,4047,5786,5786,131,124,123,1,8,5654,0.9919354838709677,0.9389312977099237,0.00017683465959328028,0.9647058823529412
llava15_earthvqa,llava15,earthvqa,60D,20,60,canonical_finite,0.6040776968002319,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,26,22878,4047,5786,5697,42,36,34,2,8,5653,0.9444444444444444,0.8095238095238095,0.00035366931918656057,0.8717948717948718
llava15_earthvqa,llava15,earthvqa,60D,20,60,full,0.6040776968002319,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,26,22878,4047,5786,5786,131,125,123,2,8,5653,0.984,0.9389312977099237,0.00035366931918656057,0.9609375
llava15_earthvqa,llava15,earthvqa,60D,24,60,canonical_finite,0.7765318751335144,1.0,0.943089430894309,0.9707112970711297,0.0,88,22878,4047,5786,5697,42,35,34,1,8,5654,0.9714285714285714,0.8095238095238095,0.00017683465959328028,0.8831168831168831
llava15_earthvqa,llava15,earthvqa,60D,24,60,full,0.7765318751335144,1.0,0.943089430894309,0.9707112970711297,0.0,88,22878,4047,5786,5786,131,124,123,1,8,5654,0.9919354838709677,0.9389312977099237,0.00017683465959328028,0.9647058823529412
llava15_earthvqa,llava15,earthvqa,60D,28,60,canonical_finite,0.5689475536346436,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,16,22878,4047,5786,5697,42,35,34,1,8,5654,0.9714285714285714,0.8095238095238095,0.00017683465959328028,0.8831168831168831
llava15_earthvqa,llava15,earthvqa,60D,28,60,full,0.5689475536346436,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,16,22878,4047,5786,5786,131,124,123,1,8,5654,0.9919354838709677,0.9389312977099237,0.00017683465959328028,0.9647058823529412
llava15_earthvqa,llava15,earthvqa,60D,32,60,canonical_finite,0.5433813333511353,0.9830508474576272,0.943089430894309,0.9626556016597511,0.0003531696980399082,16,22878,4047,5786,5697,42,40,35,5,7,5650,0.875,0.8333333333333334,0.0008841732979664014,0.8536585365853658
llava15_earthvqa,llava15,earthvqa,60D,32,60,full,0.5433813333511353,0.9830508474576272,0.943089430894309,0.9626556016597511,0.0003531696980399082,16,22878,4047,5786,5786,131,129,124,5,7,5650,0.9612403100775194,0.9465648854961832,0.0008841732979664014,0.9538461538461539
