job,model,dataset,profile,k,feature_count,cohort,selection_validation_rows,strict_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_earthvqa,llava15,earthvqa,72D,24,72,strict_finite,5669,36,14,8,6,2,8,5653,0.75,0.42857142857142855,0.00035366931918656057,0.5454545454545454
llava15_lingoqa,llava15,lingoqa,72D,24,72,strict_finite,5719,36,29,13,9,4,20,5686,0.6923076923076923,0.3103448275862069,0.00070298769771529,0.42857142857142855
llava15_vqav2,llava15,vqav2,72D,24,72,strict_finite,5993,36,23,31,7,24,16,5946,0.22580645161290322,0.30434782608695654,0.004020100502512563,0.25925925925925924
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,24,72,strict_finite,5659,36,56,46,46,0,10,5603,1.0,0.8214285714285714,0.0,0.9019607843137255
qwen25_vl_lingoqa,qwen25_vl,lingoqa,72D,24,72,strict_finite,5732,36,87,51,49,2,38,5643,0.9607843137254902,0.5632183908045977,0.000354295837023915,0.7101449275362319
qwen25_vl_vqav2,qwen25_vl,vqav2,72D,24,72,strict_finite,5993,36,99,46,45,1,54,5893,0.9782608695652174,0.45454545454545453,0.00016966406515100103,0.6206896551724138
internvl3_earthvqa,internvl3,earthvqa,72D,28,72,strict_finite,5551,36,89,75,73,2,16,5460,0.9733333333333334,0.8202247191011236,0.0003661662394727206,0.8902439024390244
internvl3_lingoqa,internvl3,lingoqa,72D,28,72,strict_finite,5596,36,93,87,85,2,8,5501,0.9770114942528736,0.9139784946236559,0.00036343812465927677,0.9444444444444444
internvl3_vqav2,internvl3,vqav2,72D,28,72,strict_finite,5841,36,99,82,78,4,21,5738,0.9512195121951219,0.7878787878787878,0.0006966213862765587,0.861878453038674
llava15_earthvqa,llava15,earthvqa,72D,28,72,strict_finite,5669,36,14,8,6,2,8,5653,0.75,0.42857142857142855,0.00035366931918656057,0.5454545454545454
llava15_lingoqa,llava15,lingoqa,72D,28,72,strict_finite,5719,36,29,9,8,1,21,5689,0.8888888888888888,0.27586206896551724,0.0001757469244288225,0.42105263157894735
llava15_vqav2,llava15,vqav2,72D,28,72,strict_finite,5993,36,23,32,7,25,16,5945,0.21875,0.30434782608695654,0.0041876046901172526,0.2545454545454545
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,28,72,strict_finite,5659,36,56,55,46,9,10,5594,0.8363636363636363,0.8214285714285714,0.0016062823487417454,0.8288288288288288
qwen25_vl_lingoqa,qwen25_vl,lingoqa,72D,28,72,strict_finite,5732,36,87,77,52,25,35,5620,0.6753246753246753,0.5977011494252874,0.0044286979627989375,0.6341463414634146
qwen25_vl_vqav2,qwen25_vl,vqav2,72D,28,72,strict_finite,5993,36,99,47,46,1,53,5893,0.9787234042553191,0.46464646464646464,0.00016966406515100103,0.6301369863013698
internvl3_earthvqa,internvl3,earthvqa,72D,32,72,strict_finite,5551,36,89,73,71,2,18,5460,0.9726027397260274,0.797752808988764,0.0003661662394727206,0.8765432098765432
internvl3_lingoqa,internvl3,lingoqa,72D,32,72,strict_finite,5596,36,93,92,87,5,6,5498,0.9456521739130435,0.9354838709677419,0.0009085953116481918,0.9405405405405406
internvl3_vqav2,internvl3,vqav2,72D,32,72,strict_finite,5841,36,99,84,80,4,19,5738,0.9523809523809523,0.8080808080808081,0.0006966213862765587,0.8743169398907104
llava15_earthvqa,llava15,earthvqa,72D,32,72,strict_finite,5669,36,14,8,6,2,8,5653,0.75,0.42857142857142855,0.00035366931918656057,0.5454545454545454
llava15_lingoqa,llava15,lingoqa,72D,32,72,strict_finite,5719,36,29,12,9,3,20,5687,0.75,0.3103448275862069,0.0005272407732864675,0.43902439024390244
llava15_vqav2,llava15,vqav2,72D,32,72,strict_finite,5993,36,23,43,7,36,16,5934,0.16279069767441862,0.30434782608695654,0.006030150753768844,0.21212121212121213
qwen25_vl_earthvqa,qwen25_vl,earthvqa,72D,32,72,strict_finite,5659,36,56,57,46,11,10,5592,0.8070175438596491,0.8214285714285714,0.0019632339817954665,0.8141592920353983
qwen25_vl_lingoqa,qwen25_vl,lingoqa,72D,32,72,strict_finite,5732,36,87,75,51,24,36,5621,0.68,0.5862068965517241,0.004251550044286979,0.6296296296296297
qwen25_vl_vqav2,qwen25_vl,vqav2,72D,32,72,strict_finite,5993,36,99,46,45,1,54,5893,0.9782608695652174,0.45454545454545453,0.00016966406515100103,0.6206896551724138
