k,macro_precision,macro_recall,macro_f1,macro_fpr,mean_steps_used
1,0.8956941321079689,0.8275211450983111,0.8542498871805715,0.0019898143767567416,1.0
2,0.8587308419832151,0.8370785459720917,0.8366844833673074,0.002365513594745777,1.8691535705393667
4,0.9494038636311325,0.8386814356720997,0.8880301367038943,0.0011410124398185512,3.4329102686422734
8,0.934397808040341,0.8365661368250272,0.878561245544526,0.0014610525144018033,6.390221674033833
12,0.9201130515824096,0.8390423782218706,0.866167415123415,0.0022263657362313195,9.083350510836421
16,0.9440968521144882,0.8305307767007276,0.8820072904018963,0.0006122505774636128,11.3885819828545
20,0.9526287192222538,0.8306047058800973,0.8853598922191248,0.00048701750480060113,13.130858719763605
24,0.924178874927191,0.8328366724879626,0.8727985343165172,0.0007792280076809617,14.202599538036019
28,0.9355563942199026,0.8338112834958007,0.8801126494227016,0.0008627167227896362,14.753309053051005
32,0.9310867148771398,0.8367563765176997,0.8800471174185975,0.0009879497954526479,15.020371448447252
