group,ablation,full_f1_percent,canonical_finite_f1_percent,full_delta_f1_pp,canonical_finite_delta_f1_pp
Layer-pair ablation,Full 36D,93.42205336320795,87.38768701426616,0.0,0.0
Layer-pair ablation,"w/o (6,7)",92.25546580679183,84.91010043916624,-1.166587556416132,-2.4775865750999326
Layer-pair ablation,"w/o (24,25)",91.26395785216516,82.88967334500377,-2.1580955110428013,-4.498013669262391
Layer-pair ablation,"w/o (26,27)",90.94911025969053,82.61069074097148,-2.4729431035174443,-4.776996273294698
Metric ablation,Full 36D,93.42205336320795,87.38768701426616,0.0,0.0
Metric ablation,w/o CosSim,91.4669956757122,84.44484829248415,-1.9550576874957537,-2.942838721782015
Metric ablation,w/o MeanDiff,89.68498769368995,80.8780874977973,-3.7370656695180022,-6.509599516468867
Metric ablation,w/o StdDiff,92.96270395264808,86.55027209073162,-0.4593494105598728,-0.8374149235345407
Metric ablation,w/o L2,92.02063034908761,84.84823603305865,-1.40142301412034,-2.539450981207514
