method,cohort,jobs,sdc_recall,significant_sdc_recall,non_significant_fpr,significant_sdc_precision,significant_sdc_f1
Ranger-style,full,9,0.3562988717266228,0.8739700921432734,0.009546396174236594,0.8233000041445092,0.8345757419912235
Ranger-style,finite_only,9,0.22371650392533576,0.7764636358245651,0.009546396174236594,0.7612060703883733,0.7373705199486813
Dr.DNA-style,full,9,0.32998680141459996,0.7611646703728544,0.002751889027321729,0.9202389184039644,0.8240093393242081
Dr.DNA-style,finite_only,9,0.19194481153561327,0.6228058044455826,0.002751889027321729,0.8896057355011315,0.7181393503284006
SIEVE,full,9,0.3674920517903637,0.9148516576239805,0.0010671502371497105,0.9637994989844064,0.9378380066098408
SIEVE,finite_only,9,0.24394814146969923,0.8414845015988663,0.0010671502371497105,0.9119776499693509,0.8717864538837401
