model,vanilla_latency_mean_ms,sieve_latency_mean_ms,end_to_end_overhead_percent,overhead_ci95_low_percent,overhead_ci95_high_percent,throughput_change_percent,detection_ready_mean_ms,detection_ready_p95_ms,detection_after_prefill_mean_ms,detection_after_prefill_p95_ms,extra_peak_allocated_mb,steps_processed
Qwen2.5-VL-7B,775.0233416818082,800.4565583541989,3.2816065406753303,3.0907205835311564,3.473970168044956,-3.1773387833417766,501.4720877376385,508.46370614599437,241.35179258417338,245.85098028182983,1.4375,"{""4"": 200}"
InternVL3-8B,995.2027544751763,1009.0923962392844,1.3956594976902714,1.2924166659341392,1.504252865103054,-1.376448957089793,480.4744698223658,485.0929219741374,152.7660366613418,157.06359543837607,1.4375,"{""4"": 200}"
LLaVA-1.5-7B,360.70060623576865,378.7025203090161,4.990818912425299,4.648061344393192,5.347840835082371,-4.753576516617364,289.4113097433001,354.0418687509373,160.58016004040837,222.46109265834093,2.5791015625,"{""1"": 40, ""2"": 80, ""4"": 80}"
