group,ablation,full_f1_percent,strict_finite_f1_percent,full_delta_f1_pp,strict_finite_delta_f1_pp
Layer-pair ablation,Full 36D,93.42205336320795,71.48632125916124,0.0,0.0
Layer-pair ablation,"w/o (6,7)",92.25546580679183,68.81785956669063,-1.166587556416132,-2.668461692470614
Layer-pair ablation,"w/o (24,25)",91.26395785216516,66.78256865625123,-2.1580955110428013,-4.703752602910017
Layer-pair ablation,"w/o (26,27)",90.94911025969053,65.86415605097623,-2.4729431035174443,-5.622165208185015
Metric ablation,Full 36D,93.42205336320795,71.48632125916124,0.0,0.0
Metric ablation,w/o CosSim,91.4669956757122,64.79515612560853,-1.9550576874957537,-6.691165133552712
Metric ablation,w/o MeanDiff,89.68498769368995,65.29280963195147,-3.7370656695180022,-6.193511627209769
Metric ablation,w/o StdDiff,92.96270395264808,70.29817006055742,-0.4593494105598728,-1.1881511986038151
Metric ablation,w/o L2,92.02063034908761,68.98759733418098,-1.40142301412034,-2.498723924980273
