method,cohort,jobs,sdc_recall,significant_sdc_recall,non_significant_fpr,significant_sdc_precision,significant_sdc_f1
Ranger-style,full,9,0.3409072877654969,0.8171201824721817,0.004119865184844325,0.9346534563060072,0.8673101703808664
Ranger-style,finite_only,9,0.20119522061311804,0.6858096077638991,0.004119865184844325,0.91167426882136,0.7731038409174376
Dr.DNA-style,full,9,0.32602219396085297,0.7525534325301758,0.0006654100067691772,0.9755629167642648,0.84273124290393
Dr.DNA-style,finite_only,9,0.1875414579069088,0.6090033780939162,0.0006654100067691772,0.9309463158980269,0.7260576767002112
SIEVE,full,9,0.36707388917824685,0.9128591483693614,0.0011592306884583604,0.9753735923907081,0.9422415141163483
SIEVE,finite_only,9,0.24402921776291478,0.8386814356720999,0.0011592306884583604,0.9494038636311325,0.8880301367038942
