k,macro_precision,macro_recall,macro_f1,macro_fpr,mean_steps_used
1,0.8829836266314697,0.8333656788337097,0.8491979864876218,0.0032560598892383045,1.0
2,0.9579005018306158,0.8341096601960967,0.8894023849564182,0.0006539949350179501,1.8691535705393667
4,0.9485956924113736,0.822790293460333,0.8758669003610207,0.0012662455124815629,3.4329102686422734
8,0.8873533536365722,0.829276424175132,0.8476007681620532,0.0022820248796371024,6.390221674033833
12,0.8681970667275755,0.840749454739607,0.8511216129375064,0.0018924108757966214,9.083350510836421
16,0.8556165522694101,0.8419223285583244,0.8400171265549419,0.002128962235271199,11.3885819828545
20,0.8378089712562683,0.8412668865809537,0.8251435663051625,0.002476831881557343,13.130858719763605
24,0.9273586484896738,0.842069550808637,0.8788425278110743,0.0006679097208693958,14.202599538036019
28,0.9119776499693509,0.8414845015988663,0.8717864538837401,0.0010714385105613225,14.753309053051005
32,0.9115323977072981,0.8434814284555177,0.8700465906715745,0.0009879497954526479,15.020371448447252
