method,cohort,jobs,sdc_recall,significant_sdc_recall,non_significant_fpr,significant_sdc_precision,significant_sdc_f1
Ranger-style,full,9,0.3562988717266228,0.8739700921432734,0.009546396174236594,0.8233000041445092,0.8345757419912235
Ranger-style,finite_only,9,0.06164220768293513,0.4701613744557591,0.009546396174236594,0.44785223612657454,0.377442862696146
Dr.DNA-style,full,9,0.32998680141459996,0.7611646703728544,0.002751889027321729,0.9202389184039644,0.8240093393242081
Dr.DNA-style,finite_only,9,0.025019738074714342,0.16757509140132779,0.002751889027321729,0.7385109217262907,0.2273669954521722
SIEVE,full,9,0.3674920517903637,0.9148516576239805,0.0010671502371497105,0.9637994989844064,0.9378380066098408
SIEVE,finite_only,9,0.09076966454865604,0.6280580073394888,0.0010671502371497105,0.7988385763516539,0.6878272766821842
