,Q-E,Q-L,Q-V,L-E,L-L,L-V,I-E,I-L,I-V
Q-E,0.6857142857142857,0.23430962343096234,0.09237536656891496,0.0,0.0,0.0,0.7281553398058253,0.7456445993031359,0.2834285714285714
Q-L,0.7457627118644068,0.8666666666666667,0.0990990990990991,0.0,0.0,0.0,0.9184549356223176,0.7489711934156379,0.8223684210526315
Q-V,0.7386363636363636,0.8739495798319328,0.7284768211920529,0.0,0.0,0.0,0.2620689655172414,0.2543352601156069,0.28426395939086296
L-E,0.15,0.2597402597402597,0.11764705882352941,0.5384615384615384,0.0672782874617737,0.01680672268907563,0.43478260869565216,0.8110236220472441,0.2653061224489796
L-L,0.017857142857142856,0.0,0.0,0.15384615384615385,0.5128205128205128,0.4166666666666667,0.0,0.0,0.0
L-V,0.06956521739130435,0.1282051282051282,0.05825242718446602,0.15384615384615385,0.47368421052631576,0.2553191489361702,0.14705882352941177,0.08860759493670886,0.13259668508287292
I-E,0.1951219512195122,0.7086614173228346,0.14583333333333334,0.05533596837944664,0.019249278152069296,0.006284367635506678,0.9465020576131687,0.16280701754385965,0.04975753742357158
I-L,0.7528089887640449,0.8688524590163934,0.29292929292929293,0.0,0.0,0.0,0.9322033898305084,0.8333333333333334,0.8074534161490683
I-V,0.7528089887640449,0.8760330578512396,0.5979381443298969,0.011874469889737066,0.008350730688935281,0.0058374494836102376,0.9411764705882353,0.8307692307692308,0.8231511254019293
