source_job,precision_full,precision_strict_finite,recall_full,recall_strict_finite,f1_full,f1_strict_finite,false_positive_rate_full,false_positive_rate_strict_finite
internvl3_lingoqa,0.9277927457993862,0.5008303624480095,0.851555409644544,0.45513271107953945,0.8760546893411353,0.4567809433361635,0.004123989448302441,0.004123989448302441
qwen25_vl_lingoqa,0.9412917864277802,0.5002947435012652,0.7758456986893797,0.3625847817713744,0.8466535584930375,0.41683204513176164,0.0019463514885519615,0.0019463514885519615
llava15_vqav2,0.9905391492280881,0.8478896103896104,0.6830543961144123,0.09292542736105812,0.8013741133428827,0.1564770300877952,0.00017044523103285395,0.00017044523103285395
qwen25_vl_vqav2,1.0,0.625,0.6877116527535437,0.22798430962193783,0.7982827625430878,0.30165676606150094,0.0,0.0
llava15_lingoqa,1.0,0.375,0.666084499664302,0.044437529634898054,0.7902386183000221,0.07354624542124542,0.0,0.0
qwen25_vl_earthvqa,0.7341597199698723,0.2607299604499174,0.8479653815029696,0.4412057591168187,0.7274719341483855,0.2604891875671762,0.03387310688034602,0.03387310688034602
llava15_earthvqa,0.819117160132444,0.7510481692683757,0.7492700657698088,0.26440307073595787,0.7141810069319665,0.26532308523831427,0.01496991285579372,0.01496991285579372
internvl3_vqav2,0.6302499134300564,0.5721612329307676,0.9159832286273136,0.662381376447323,0.6294530493138533,0.5030985677956162,0.12981123096097094,0.12981123096097094
internvl3_earthvqa,0.3852468820908014,0.2490188346595928,0.8675011978863133,0.5685239605356275,0.42780708047169347,0.16788135887626673,0.1726202807206465,0.1726202807206465
