,Q-E,Q-L,Q-V,L-E,L-L,L-V,I-E,I-L,I-V
Q-E,0.003389404971127291,0.04417071046410352,0.14849044978434997,0.0,0.0,0.0,0.0006439979392065945,0.0037467700258397934,0.07393292682926829
Q-L,0.0,0.00012442453651860148,0.014171287738755391,0.0,0.0,0.0,0.0,0.00012919896640826872,0.0012703252032520325
Q-V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-E,0.0,0.0,0.0,0.0008640908529811135,0.035740878629932984,0.08389139169609157,0.0,0.0,0.00012703252032520327
L-L,0.0,0.0,0.0,0.0,0.00012410027302060066,0.0,0.0,0.0,0.0
L-V,0.0,0.0007465472191116088,0.0004929143561306223,0.0,0.00012410027302060066,0.0026786801412394985,0.0,0.0,0.0
I-E,0.0,0.001866368047779022,0.07590881084411584,0.028885322799654365,0.25192355423181934,0.30670887617192255,0.00025759917568263783,0.1496124031007752,0.5660569105691057
I-L,0.0,0.00024884907303720296,0.02982131854590265,0.0,0.0,0.0,0.0,0.0003875968992248062,0.0029217479674796746
I-V,0.0,0.00012442453651860148,0.004929143561306223,0.14319219849401307,0.3517001737403822,0.5384147083891392,0.0,0.00012919896640826872,0.0017784552845528454
