cohort,relationship,cells,precision,recall,f1,false_positive_rate
full,cross_model_cross_dataset,36,0.8407058658707435,0.7566089355681295,0.7252821249729644,0.03447414795584028
full,cross_model_same_dataset,18,0.9005600647612229,0.7264488912433662,0.75239718027494,0.03187467417138236
full,in_domain,9,0.9637994989844062,0.9148516576239805,0.9378380066098408,0.0010671502371497105
full,same_model_cross_dataset,18,0.7195381399765917,0.8914316956881915,0.7354904866173819,0.05807272662166793
strict_finite,cross_model_cross_dataset,36,0.4815867007885993,0.295150777650854,0.24350404578750698,0.03447414795584028
strict_finite,cross_model_same_dataset,18,0.49681399076106314,0.2553080978775175,0.236672677000232,0.03187467417138236
strict_finite,in_domain,9,0.7988385763516539,0.6280580073394888,0.6878272766821842,0.0010671502371497105
strict_finite,same_model_cross_dataset,18,0.6208894581717556,0.5408698696227899,0.4328015556540163,0.05807272662166793
