k,macro_precision,macro_recall,macro_f1,macro_fpr,mean_steps_used
1,0.9368117104488866,0.8231207658392531,0.8711149468886809,0.0010157793671555396,1.0
2,0.9003996794550626,0.8312409737331331,0.8504911894680312,0.00186458130409373,1.8691535705393667
4,0.8954831675341683,0.8343218215144627,0.8577095185059709,0.0019341552333509587,3.4329102686422734
8,0.8887023610533241,0.8358155756709086,0.8544274174198946,0.0013079898700359002,6.390221674033833
12,0.9075051448198779,0.8334987421188028,0.8641425219639195,0.0014332229426989118,9.083350510836421
16,0.9460135635938833,0.8311483772607016,0.8794781960040976,0.0012940750841844543,11.3885819828545
20,0.8559878147750178,0.8372278931283703,0.833035339834101,0.002142877021122645,13.130858719763605
24,0.9542385408923896,0.8288317562290685,0.8818519389508759,0.0006539949350179501,14.202599538036019
28,0.9307358712164555,0.8280555176676789,0.8744598599783413,0.0009462054378983107,14.753309053051005
32,0.9298246152122032,0.8281348757097532,0.8744878128996791,0.0008627167227896362,15.020371448447252
